Bedrooms,Sqft Area,Price per Sqft (INR),Toilets,Locality,Renovation Type,Total Renovation Cost (INR),House Age (years),Material Quality,Energy Efficiency Rating
5,2215,55776,4,Rural,necessity,9026060,36,medium,3
1,2310,168060,1,Urban,luxury,9074668,47,low,5
5,2334,44804,4,Rural,moderate,9079548,22,high,3
2,2272,187152,1,Urban,necessity,9114524,34,high,3
2,2168,106252,2,Urban,luxury,9118720,47,low,4
5,1819,124332,4,Urban,necessity,9187612,8,medium,2
4,2468,46372,4,Rural,luxury,9191604,40,medium,4
2,2319,88200,1,Urban,luxury,9208032,49,medium,4
5,1812,116800,4,Urban,luxury,9294036,44,medium,1
3,2616,37732,3,Rural,necessity,9365852,19,high,4
1,2496,182236,1,Urban,necessity,9382164,42,high,5
3,2146,238992,3,Urban,moderate,9396968,41,high,5
3,2135,93720,3,Urban,necessity,9401904,37,high,1
5,2381,36936,4,Rural,luxury,9406828,6,high,2
5,1824,155400,4,Urban,necessity,9413368,26,medium,2
4,1984,146644,4,Urban,moderate,9449276,34,medium,4
5,1872,105104,4,Urban,necessity,9570516,45,medium,4
1,2517,102504,1,Urban,moderate,9586508,6,medium,4
3,2673,11216,3,Rural,moderate,9586752,37,high,2
